Configuration;MeasuredValue;PredictedValue
compression%_%compressionLrzip%_%level%_%level1%_%root%_%;208900;1060789.6951
compression%_%compressionLrzip%_%level%_%level2%_%root%_%;210450;1060789.6951
compression%_%compressionLrzip%_%level%_%level3%_%root%_%;283750;1060789.6951
compression%_%compressionLrzip%_%level%_%level4%_%root%_%;339780;1060789.6951
compression%_%compressionLrzip%_%level%_%level5%_%root%_%;340590;1060789.6951
compression%_%compressionLrzip%_%level%_%level6%_%root%_%;384660;1060789.6951
compression%_%compressionLrzip%_%level%_%level7%_%root%_%;1062250;1060789.9744
compression%_%compressionLrzip%_%level%_%level8%_%root%_%;1179830;1060789.6951
compression%_%compressionLrzip%_%level%_%level9%_%root%_%;827290;1060789.6951
compression%_%compressionBzip2%_%level%_%level1%_%root%_%;208350;1060787.1793
compression%_%compressionBzip2%_%level%_%level2%_%root%_%;213220;1060787.1793
compression%_%compressionBzip2%_%level%_%level3%_%root%_%;223040;1060787.1793
compression%_%compressionBzip2%_%level%_%level4%_%root%_%;234870;1060787.1793
compression%_%compressionBzip2%_%level%_%level5%_%root%_%;236720;1060787.1793
compression%_%compressionBzip2%_%level%_%level6%_%root%_%;248940;1060787.1793
compression%_%compressionBzip2%_%level%_%level7%_%root%_%;257480;1060787.1793
compression%_%compressionBzip2%_%level%_%level8%_%root%_%;263430;1060787.1793
compression%_%compressionBzip2%_%level%_%level9%_%root%_%;265980;1060787.1793
compression%_%compressionGzip%_%level%_%level1%_%root%_%;76470;1060787.1793
compression%_%compressionGzip%_%level%_%level2%_%root%_%;80360;1060787.1793
compression%_%compressionGzip%_%level%_%level3%_%root%_%;87690;1060787.1793
compression%_%compressionGzip%_%level%_%level4%_%root%_%;93090;1060787.1793
compression%_%compressionGzip%_%level%_%level5%_%root%_%;106090;1060787.1793
compression%_%compressionGzip%_%level%_%level6%_%root%_%;128450;1060787.1793
compression%_%compressionGzip%_%level%_%level7%_%root%_%;146410;1060787.1793
compression%_%compressionGzip%_%level%_%level8%_%root%_%;187970;1060787.1793
compression%_%compressionGzip%_%level%_%level9%_%root%_%;198360;1060787.1793
compression%_%compressionLzo%_%level%_%level1%_%root%_%;50520;1060787.1793
compression%_%compressionLzo%_%level%_%level2%_%root%_%;50610;1060787.1793
compression%_%compressionLzo%_%level%_%level3%_%root%_%;45490;1060787.1793
compression%_%compressionLzo%_%level%_%level4%_%root%_%;48050;1060787.1793
compression%_%compressionLzo%_%level%_%level5%_%root%_%;49850;1060787.1793
compression%_%compressionLzo%_%level%_%level6%_%root%_%;50420;1060787.1793
compression%_%compressionLzo%_%level%_%level7%_%root%_%;53060;1060787.1793
compression%_%compressionLzo%_%level%_%level8%_%root%_%;53480;1060787.1793
compression%_%compressionLzo%_%level%_%level9%_%root%_%;51500;1060787.1793
compression%_%compressionZpaq%_%level%_%level1%_%root%_%;673290;1060788.0786
compression%_%compressionZpaq%_%level%_%level2%_%root%_%;679680;1060788.0786
compression%_%compressionZpaq%_%level%_%level3%_%root%_%;674140;1060788.0786
compression%_%compressionZpaq%_%level%_%level4%_%root%_%;2267650;1060788.0786
compression%_%compressionZpaq%_%level%_%level5%_%root%_%;2265330;1060788.0786
compression%_%compressionZpaq%_%level%_%level6%_%root%_%;2265250;1060788.0786
compression%_%compressionZpaq%_%level%_%level7%_%root%_%;2275110;1060788.1784
compression%_%compressionZpaq%_%level%_%level8%_%root%_%;5765920;1060788.0786
compression%_%compressionZpaq%_%level%_%level9%_%root%_%;5759100;1060788.0786
level%_%level1%_%root%_%;41150;1060783.7642
level%_%level2%_%root%_%;41790;1060783.7642
level%_%level3%_%root%_%;42300;1060783.7642
level%_%level4%_%root%_%;43680;1060783.7642
level%_%level5%_%root%_%;43560;1060783.7642
level%_%level6%_%root%_%;45720;1060783.7642
level%_%level7%_%root%_%;44370;1060783.3851
level%_%level8%_%root%_%;46950;1060783.7642
level%_%level9%_%root%_%;45770;1060783.7642
compression%_%compressionLrzip%_%encryption%_%level%_%level1%_%root%_%;220490;1060789.7412
compression%_%compressionLrzip%_%encryption%_%level%_%level2%_%root%_%;222350;1060789.7412
compression%_%compressionLrzip%_%encryption%_%level%_%level3%_%root%_%;295950;1060789.7412
compression%_%compressionLrzip%_%encryption%_%level%_%level4%_%root%_%;350260;1060789.7412
compression%_%compressionLrzip%_%encryption%_%level%_%level5%_%root%_%;347130;1060789.7412
compression%_%compressionLrzip%_%encryption%_%level%_%level6%_%root%_%;395130;1060789.7412
compression%_%compressionLrzip%_%encryption%_%level%_%level7%_%root%_%;1070520;1060790.0256
compression%_%compressionLrzip%_%encryption%_%level%_%level8%_%root%_%;1185460;1060789.7412
compression%_%compressionLrzip%_%encryption%_%level%_%level9%_%root%_%;833620;1060789.7412
compression%_%compressionBzip2%_%encryption%_%level%_%level1%_%root%_%;213900;1060787.1793
compression%_%compressionBzip2%_%encryption%_%level%_%level2%_%root%_%;222830;1060787.1793
compression%_%compressionBzip2%_%encryption%_%level%_%level3%_%root%_%;233560;1060787.1793
compression%_%compressionBzip2%_%encryption%_%level%_%level4%_%root%_%;243700;1060787.1793
compression%_%compressionBzip2%_%encryption%_%level%_%level5%_%root%_%;250030;1060787.1793
compression%_%compressionBzip2%_%encryption%_%level%_%level6%_%root%_%;260550;1060787.1793
compression%_%compressionBzip2%_%encryption%_%level%_%level7%_%root%_%;263150;1060787.1793
compression%_%compressionBzip2%_%encryption%_%level%_%level8%_%root%_%;271090;1060787.1793
compression%_%compressionBzip2%_%encryption%_%level%_%level9%_%root%_%;274670;1060787.1793
compression%_%compressionGzip%_%encryption%_%level%_%level1%_%root%_%;88600;1060787.1793
compression%_%compressionGzip%_%encryption%_%level%_%level2%_%root%_%;89260;1060787.1793
compression%_%compressionGzip%_%encryption%_%level%_%level3%_%root%_%;97960;1060787.1793
compression%_%compressionGzip%_%encryption%_%level%_%level4%_%root%_%;103630;1060787.1793
compression%_%compressionGzip%_%encryption%_%level%_%level5%_%root%_%;114530;1060787.1793
compression%_%compressionGzip%_%encryption%_%level%_%level6%_%root%_%;139600;1060787.1793
compression%_%compressionGzip%_%encryption%_%level%_%level7%_%root%_%;156680;1060787.1793
compression%_%compressionGzip%_%encryption%_%level%_%level8%_%root%_%;198500;1060787.1793
compression%_%compressionGzip%_%encryption%_%level%_%level9%_%root%_%;205040;1060787.1793
compression%_%compressionLzo%_%encryption%_%level%_%level1%_%root%_%;65730;1060787.1793
compression%_%compressionLzo%_%encryption%_%level%_%level2%_%root%_%;59710;1060787.1793
compression%_%compressionLzo%_%encryption%_%level%_%level3%_%root%_%;61770;1060787.1793
compression%_%compressionLzo%_%encryption%_%level%_%level4%_%root%_%;60460;1060787.1793
compression%_%compressionLzo%_%encryption%_%level%_%level5%_%root%_%;61210;1060787.1793
compression%_%compressionLzo%_%encryption%_%level%_%level6%_%root%_%;61790;1060787.1793
compression%_%compressionLzo%_%encryption%_%level%_%level7%_%root%_%;64550;1060787.1793
compression%_%compressionLzo%_%encryption%_%level%_%level8%_%root%_%;63620;1060787.1793
compression%_%compressionLzo%_%encryption%_%level%_%level9%_%root%_%;64620;1060787.1793
compression%_%compressionZpaq%_%encryption%_%level%_%level1%_%root%_%;681080;1060788.0325
compression%_%compressionZpaq%_%encryption%_%level%_%level2%_%root%_%;684690;1060788.0325
compression%_%compressionZpaq%_%encryption%_%level%_%level3%_%root%_%;681250;1060788.0325
compression%_%compressionZpaq%_%encryption%_%level%_%level4%_%root%_%;2288260;1060788.0325
compression%_%compressionZpaq%_%encryption%_%level%_%level5%_%root%_%;2282110;1060788.0325
