Configuration;MeasuredValue;PredictedValue
compression%_%compressionLrzip%_%level%_%level1%_%root%_%;208900;52450.9259
compression%_%compressionLrzip%_%level%_%level2%_%root%_%;210450;52667.037
compression%_%compressionLrzip%_%level%_%level3%_%root%_%;283750;52667.037
compression%_%compressionLrzip%_%level%_%level4%_%root%_%;339780;52667.037
compression%_%compressionLrzip%_%level%_%level5%_%root%_%;340590;52667.037
compression%_%compressionLrzip%_%level%_%level6%_%root%_%;384660;52667.037
compression%_%compressionLrzip%_%level%_%level7%_%root%_%;1062250;52667.037
compression%_%compressionLrzip%_%level%_%level8%_%root%_%;1179830;52667.037
compression%_%compressionLrzip%_%level%_%level9%_%root%_%;827290;52667.037
compression%_%compressionBzip2%_%level%_%level1%_%root%_%;208350;212689.2593
compression%_%compressionBzip2%_%level%_%level2%_%root%_%;213220;214399.4444
compression%_%compressionBzip2%_%level%_%level3%_%root%_%;223040;213328.6574
compression%_%compressionBzip2%_%level%_%level4%_%root%_%;234870;213328.6574
compression%_%compressionBzip2%_%level%_%level5%_%root%_%;236720;213328.6574
compression%_%compressionBzip2%_%level%_%level6%_%root%_%;248940;213328.6574
compression%_%compressionBzip2%_%level%_%level7%_%root%_%;257480;213328.6574
compression%_%compressionBzip2%_%level%_%level8%_%root%_%;263430;213328.6574
compression%_%compressionBzip2%_%level%_%level9%_%root%_%;265980;213328.6574
compression%_%compressionGzip%_%level%_%level1%_%root%_%;76470;78925.537
compression%_%compressionGzip%_%level%_%level2%_%root%_%;80360;80831.0926
compression%_%compressionGzip%_%level%_%level3%_%root%_%;87690;79848.8704
compression%_%compressionGzip%_%level%_%level4%_%root%_%;93090;79848.8704
compression%_%compressionGzip%_%level%_%level5%_%root%_%;106090;79848.8704
compression%_%compressionGzip%_%level%_%level6%_%root%_%;128450;79848.8704
compression%_%compressionGzip%_%level%_%level7%_%root%_%;146410;79848.8704
compression%_%compressionGzip%_%level%_%level8%_%root%_%;187970;79848.8704
compression%_%compressionGzip%_%level%_%level9%_%root%_%;198360;79848.8704
compression%_%compressionLzo%_%level%_%level1%_%root%_%;50520;53550.6481
compression%_%compressionLzo%_%level%_%level2%_%root%_%;50610;53550.6481
compression%_%compressionLzo%_%level%_%level3%_%root%_%;45490;53550.6481
compression%_%compressionLzo%_%level%_%level4%_%root%_%;48050;53550.6481
compression%_%compressionLzo%_%level%_%level5%_%root%_%;49850;53550.6481
compression%_%compressionLzo%_%level%_%level6%_%root%_%;50420;53550.6481
compression%_%compressionLzo%_%level%_%level7%_%root%_%;53060;53550.6481
compression%_%compressionLzo%_%level%_%level8%_%root%_%;53480;53550.6481
compression%_%compressionLzo%_%level%_%level9%_%root%_%;51500;53550.6481
compression%_%compressionZpaq%_%level%_%level1%_%root%_%;673290;52450.9259
compression%_%compressionZpaq%_%level%_%level2%_%root%_%;679680;52667.037
compression%_%compressionZpaq%_%level%_%level3%_%root%_%;674140;52667.037
compression%_%compressionZpaq%_%level%_%level4%_%root%_%;2267650;52667.037
compression%_%compressionZpaq%_%level%_%level5%_%root%_%;2265330;52667.037
compression%_%compressionZpaq%_%level%_%level6%_%root%_%;2265250;52667.037
compression%_%compressionZpaq%_%level%_%level7%_%root%_%;2275110;52667.037
compression%_%compressionZpaq%_%level%_%level8%_%root%_%;5765920;52667.037
compression%_%compressionZpaq%_%level%_%level9%_%root%_%;5759100;52667.037
level%_%level1%_%root%_%;41150;43750.8333
level%_%level2%_%root%_%;41790;43750.8333
level%_%level3%_%root%_%;42300;43750.8333
level%_%level4%_%root%_%;43680;43750.8333
level%_%level5%_%root%_%;43560;43750.8333
level%_%level6%_%root%_%;45720;43750.8333
level%_%level7%_%root%_%;44370;43750.8333
level%_%level8%_%root%_%;46950;43750.8333
level%_%level9%_%root%_%;45770;43750.8333
compression%_%compressionLrzip%_%encryption%_%level%_%level1%_%root%_%;220490;60250.5556
compression%_%compressionLrzip%_%encryption%_%level%_%level2%_%root%_%;222350;60250.5556
compression%_%compressionLrzip%_%encryption%_%level%_%level3%_%root%_%;295950;60250.5556
compression%_%compressionLrzip%_%encryption%_%level%_%level4%_%root%_%;350260;60250.5556
compression%_%compressionLrzip%_%encryption%_%level%_%level5%_%root%_%;347130;60250.5556
compression%_%compressionLrzip%_%encryption%_%level%_%level6%_%root%_%;395130;60250.5556
compression%_%compressionLrzip%_%encryption%_%level%_%level7%_%root%_%;1070520;60250.5556
compression%_%compressionLrzip%_%encryption%_%level%_%level8%_%root%_%;1185460;60250.5556
compression%_%compressionLrzip%_%encryption%_%level%_%level9%_%root%_%;833620;60250.5556
compression%_%compressionBzip2%_%encryption%_%level%_%level1%_%root%_%;213900;223798.0556
compression%_%compressionBzip2%_%encryption%_%level%_%level2%_%root%_%;222830;223798.0556
compression%_%compressionBzip2%_%encryption%_%level%_%level3%_%root%_%;233560;223798.0556
compression%_%compressionBzip2%_%encryption%_%level%_%level4%_%root%_%;243700;223798.0556
compression%_%compressionBzip2%_%encryption%_%level%_%level5%_%root%_%;250030;223798.0556
compression%_%compressionBzip2%_%encryption%_%level%_%level6%_%root%_%;260550;223798.0556
compression%_%compressionBzip2%_%encryption%_%level%_%level7%_%root%_%;263150;223798.0556
compression%_%compressionBzip2%_%encryption%_%level%_%level8%_%root%_%;271090;223798.0556
compression%_%compressionBzip2%_%encryption%_%level%_%level9%_%root%_%;274670;223798.0556
compression%_%compressionGzip%_%encryption%_%level%_%level1%_%root%_%;88600;89085.463
compression%_%compressionGzip%_%encryption%_%level%_%level2%_%root%_%;89260;89085.463
compression%_%compressionGzip%_%encryption%_%level%_%level3%_%root%_%;97960;89085.463
compression%_%compressionGzip%_%encryption%_%level%_%level4%_%root%_%;103630;89085.463
compression%_%compressionGzip%_%encryption%_%level%_%level5%_%root%_%;114530;89085.463
compression%_%compressionGzip%_%encryption%_%level%_%level6%_%root%_%;139600;89085.463
compression%_%compressionGzip%_%encryption%_%level%_%level7%_%root%_%;156680;89085.463
compression%_%compressionGzip%_%encryption%_%level%_%level8%_%root%_%;198500;89085.463
compression%_%compressionGzip%_%encryption%_%level%_%level9%_%root%_%;205040;89085.463
compression%_%compressionLzo%_%encryption%_%level%_%level1%_%root%_%;65730;60806.3889
compression%_%compressionLzo%_%encryption%_%level%_%level2%_%root%_%;59710;60806.3889
compression%_%compressionLzo%_%encryption%_%level%_%level3%_%root%_%;61770;60806.3889
compression%_%compressionLzo%_%encryption%_%level%_%level4%_%root%_%;60460;60806.3889
compression%_%compressionLzo%_%encryption%_%level%_%level5%_%root%_%;61210;60806.3889
compression%_%compressionLzo%_%encryption%_%level%_%level6%_%root%_%;61790;60806.3889
compression%_%compressionLzo%_%encryption%_%level%_%level7%_%root%_%;64550;60806.3889
compression%_%compressionLzo%_%encryption%_%level%_%level8%_%root%_%;63620;60806.3889
compression%_%compressionLzo%_%encryption%_%level%_%level9%_%root%_%;64620;60806.3889
compression%_%compressionZpaq%_%encryption%_%level%_%level1%_%root%_%;681080;60250.5556
compression%_%compressionZpaq%_%encryption%_%level%_%level2%_%root%_%;684690;60250.5556
compression%_%compressionZpaq%_%encryption%_%level%_%level3%_%root%_%;681250;60250.5556
compression%_%compressionZpaq%_%encryption%_%level%_%level4%_%root%_%;2288260;60250.5556
compression%_%compressionZpaq%_%encryption%_%level%_%level5%_%root%_%;2282110;60250.5556
compression%_%compressionZpaq%_%encryption%_%level%_%level6%_%root%_%;2273900;60250.5556
compression%_%compressionZpaq%_%encryption%_%level%_%level7%_%root%_%;2282560;60250.5556
compression%_%compressionZpaq%_%encryption%_%level%_%level8%_%root%_%;5802460;60250.5556
compression%_%compressionZpaq%_%encryption%_%level%_%level9%_%root%_%;5810950;60250.5556
encryption%_%level%_%level1%_%root%_%;49760;50154.537
encryption%_%level%_%level2%_%root%_%;53200;50154.537
encryption%_%level%_%level3%_%root%_%;56980;50154.537
encryption%_%level%_%level4%_%root%_%;54820;50154.537
encryption%_%level%_%level5%_%root%_%;53500;50154.537
encryption%_%level%_%level6%_%root%_%;56570;50154.537
encryption%_%level%_%level7%_%root%_%;61280;50154.537
encryption%_%level%_%level8%_%root%_%;56430;50154.537
encryption%_%level%_%level9%_%root%_%;59650;50154.537
compression%_%compressionLrzip%_%level%_%level1%_%root%_%unlimitedWindowSize%_%;212880;53908.1481
compression%_%compressionLrzip%_%level%_%level2%_%root%_%unlimitedWindowSize%_%;210810;54199.8148
compression%_%compressionLrzip%_%level%_%level3%_%root%_%unlimitedWindowSize%_%;284060;54199.8148
compression%_%compressionLrzip%_%level%_%level4%_%root%_%unlimitedWindowSize%_%;339360;54199.8148
compression%_%compressionLrzip%_%level%_%level5%_%root%_%unlimitedWindowSize%_%;340300;54199.8148
compression%_%compressionLrzip%_%level%_%level6%_%root%_%unlimitedWindowSize%_%;383910;54199.8148
compression%_%compressionLrzip%_%level%_%level7%_%root%_%unlimitedWindowSize%_%;1061640;54199.8148
compression%_%compressionLrzip%_%level%_%level8%_%root%_%unlimitedWindowSize%_%;1178930;54199.8148
compression%_%compressionLrzip%_%level%_%level9%_%root%_%unlimitedWindowSize%_%;828640;54199.8148
compression%_%compressionBzip2%_%level%_%level1%_%root%_%unlimitedWindowSize%_%;208080;212689.2593
compression%_%compressionBzip2%_%level%_%level2%_%root%_%unlimitedWindowSize%_%;212850;214399.4444
compression%_%compressionBzip2%_%level%_%level3%_%root%_%unlimitedWindowSize%_%;223100;213328.6574
compression%_%compressionBzip2%_%level%_%level4%_%root%_%unlimitedWindowSize%_%;232720;213328.6574
compression%_%compressionBzip2%_%level%_%level5%_%root%_%unlimitedWindowSize%_%;240110;213328.6574
compression%_%compressionBzip2%_%level%_%level6%_%root%_%unlimitedWindowSize%_%;249760;213328.6574
compression%_%compressionBzip2%_%level%_%level7%_%root%_%unlimitedWindowSize%_%;258170;213328.6574
compression%_%compressionBzip2%_%level%_%level8%_%root%_%unlimitedWindowSize%_%;263330;213328.6574
compression%_%compressionBzip2%_%level%_%level9%_%root%_%unlimitedWindowSize%_%;266710;213328.6574
compression%_%compressionGzip%_%level%_%level1%_%root%_%unlimitedWindowSize%_%;77610;79822.963
compression%_%compressionGzip%_%level%_%level2%_%root%_%unlimitedWindowSize%_%;81720;82034.6296
