case_study,twiset1,twiset2,twiset3,solverBasedt1,solverBasedt2,solverBasedt3,henardt1,henardt2,henardt3,divDistBasedt1,divDistBasedt2,divDistBasedt3,grammarBasedt1,grammarBasedt2,grammarBasedt3,randomt1,randomt2,randomt3
7z,0,0,0,24,2,0,1,94,0,36,1,0,95,97,92,94,97,96
BerkeleyDBC,0,100,0,74,0,2,100,0,0,43,90,67,93,94,99,97,97,98
Dune,100,100,100,97,90,100,80,100,100,99,94,100,94,94,98,92,99,100
Hipacc,0,0,0,36,3,3,29,0,0,20,0,0,94,96,98,94,98,96
JavaGC,0,0,100,70,24,8,0,0,0,43,0,0,95,97,94,96,98,93
LLVM,0,0,0,0,18,31,0,0,0,73,43,20,94,93,98,91,94,97
lrzip,0,0,0,73,74,93,0,0,0,91,66,25,97,98,100,97,100,100
Polly,100,100,100,93,92,90,100,38,90,91,96,95,94,96,94,97,97,95
VP9,0,0,0,1,5,1,9,93,0,23,28,0,98,97,94,98,95,94
x264,100,0,0,1,0,0,100,100,0,93,94,99,96,95,97,96,97,95
