case_study,twiset1,twiset2,twiset3,solverBasedt1,solverBasedt2,solverBasedt3,henardt1,henardt2,henardt3,divDistBasedt1,divDistBasedt2,divDistBasedt3,grammarBasedt1,grammarBasedt2,grammarBasedt3,randomt1,randomt2,randomt3
7z,0,0,0,20,1,0,4,100,0,23,0,0,96,96,92,94,96,97
BerkeleyDBC,0,0,0,68,0,1,100,0,0,38,86,79,93,95,98,99,98,99
Dune,100,100,100,96,95,99,65,100,100,99,97,100,94,94,99,92,99,100
Hipacc,0,0,0,36,3,1,23,0,0,27,0,0,94,96,98,94,99,97
JavaGC,0,0,100,91,23,1,1,0,0,19,0,0,99,95,91,96,98,91
LLVM,0,0,0,0,11,29,0,0,0,44,38,7,95,95,98,91,94,96
lrzip,0,0,0,80,74,94,0,0,0,88,42,14,97,95,100,99,100,100
Polly,100,100,100,92,96,90,97,93,98,92,94,97,94,95,94,97,96,94
VP9,0,0,0,1,3,0,0,76,0,17,12,0,98,96,95,96,95,94
x264,100,0,0,1,0,0,99,100,0,88,96,99,95,95,98,98,96,96
